id,yield
15289,4293.702210692416
15290,6113.038380028838
15291,7242.09864097691
15292,4958.747503271768
15293,3680.213469547689
15294,4973.772708866314
15295,7205.4782997442235
15296,6439.339031874636
15297,8368.495161261495
15298,4221.0937864631305
15299,5882.5439832057855
15300,5907.796164374795
15301,5535.339783864544
15302,5672.863011838166
15303,5078.811587360355
15304,4873.695889173642
15305,4830.952977410372
15306,6318.477916313617
15307,5030.024308225591
15308,5839.753310027732
15309,6188.578868249801
15310,7568.7615716562195
15311,4072.7510168769086
15312,5165.648585599143
15313,6380.9812419439395
15314,5089.385056340034
15315,4590.087037178177
15316,7967.170540807947
15317,5652.6789032710185
15318,7831.821737773371
15319,8149.37981139568
15320,6975.568167564044
15321,6615.754166351509
15322,2691.0802353202635
15323,5901.0015234469265
15324,2612.1369994255165
15325,7124.957789201859
15326,6189.612952503049
15327,4154.766856513104
15328,7825.959649671002
15329,7726.077639973257
15330,5145.547204533493
15331,5748.318400741452
15332,6881.782075863644
15333,6375.059572793436
15334,5584.614825557221
15335,8023.46858874174
15336,4148.798511488467
15337,7555.301703334588
15338,6150.903169447545
15339,5533.870232760313
15340,6712.389104847811
15341,5699.840058263739
15342,5347.816351896527
15343,6713.959059027013
15344,6059.879467347139
15345,4457.808783396058
15346,6113.891023328951
15347,6260.984833105203
15348,4727.783146989079
15349,6527.695009253976
15350,4628.986852769189
15351,6110.3069811281475
15352,5846.332172176399
15353,6876.148584343122
15354,4319.003139217707
15355,4471.9950823633535
15356,6052.610723682306
15357,6209.772930612073
15358,6972.771410042285
15359,4973.622455159327
15360,4475.728752602099
15361,5635.208227157604
15362,5966.02214485665
15363,6634.9010928337375
15364,5108.966339849843
15365,4512.935723049648
15366,4757.064292007019
15367,7694.335452653579
15368,4944.807608634726
15369,5879.633406693254
15370,6415.613835999545
15371,3394.545398318647
15372,4855.426572474256
15373,6201.348620755675
15374,5658.862539558177
15375,5476.605314543211
15376,5913.405500345925
15377,5652.397961180465
15378,4758.419198291473
15379,6051.4217297492
15380,7358.571006560864
15381,6102.134528505412
15382,5882.320667991131
15383,7338.571758148673
15384,5219.791234624981
15385,4270.26986048539
15386,4337.713098938569
15387,4372.426138363999
15388,6771.915248987036
15389,6095.378594560379
15390,8334.223303236799
15391,6395.094187882897
15392,7247.149895812761
15393,5842.289907217615
15394,6063.444750423065
15395,5548.961557078304
15396,6895.855547001673
15397,6871.86169101369
15398,5622.583445601969
15399,5557.484112836349
15400,4828.608078453315
15401,6157.287683292346
15402,6163.332564028503
15403,6115.309108660619
15404,7201.798688566654
15405,7516.9480394907205
15406,8199.075810764258
15407,5714.863592841713
15408,7634.098376508524
15409,5855.0217908846225
15410,5874.018028322087
15411,8279.678597096106
15412,6652.0913839483455
15413,6748.983808559107
15414,5669.35571175721
15415,5941.96661071105
15416,6942.935215259407
15417,5779.402365348311
15418,7577.385412578271
15419,4400.74237548227
15420,4169.88537830799
15421,6284.935050869959
15422,3722.87272762704
15423,6644.688273322587
15424,6424.444661605379
15425,6956.728903537403
15426,3824.9786381416598
15427,7579.899752036454
15428,6371.946069259171
15429,7376.422088260142
15430,6496.028132853456
15431,5285.572848676167
15432,5194.711126683227
15433,4704.76491175881
15434,8360.988589046376
15435,4026.450800963945
15436,4694.974299805377
15437,5006.516749463895
15438,5478.073436694542
15439,7381.621572954884
15440,5442.97765984443
15441,6512.69788765703
15442,5420.818337462601
15443,4689.0306923477565
15444,5757.520149464439
15445,3601.7405833968587
15446,6616.137006493562
15447,6571.07309658104
15448,7970.25303780166
15449,8159.475666320535
15450,7086.1978520858775
15451,5301.257770066095
15452,4534.907117032271
15453,7462.730159021516
15454,6555.814182883763
15455,8303.28481469496
15456,6428.017929040458
15457,6348.8571322707985
15458,5631.922353995826
15459,6175.49725243375
15460,5726.030115047487
15461,5095.1127477033115
15462,5170.801379041661
15463,6720.006836274074
15464,6301.512977230916
15465,6707.425675537734
15466,7321.7399600190765
15467,7335.395193732231
15468,3480.5531339524805
15469,2518.3305318296734
15470,7439.479951204607
15471,7354.098800644419
15472,6608.42266126609
15473,5242.836909153335
15474,6812.021147341462
15475,5167.298660949105
15476,5257.071577056569
15477,5683.649437770406
15478,4450.104661906184
15479,7333.767057776087
15480,6801.705108666546
15481,6459.489520392895
15482,6333.568190006776
15483,6766.220240165936
15484,6326.31122200083
15485,7515.607638362069
15486,6160.520107860848
15487,7846.462100311881
15488,7125.617986750867
15489,5482.516774541217
15490,6225.277685864481
15491,6555.164341271204
15492,5225.1096182616975
15493,7324.538912161564
15494,6366.614378314787
15495,6883.367460411942
15496,6914.183700976973
15497,4778.44905718084
15498,6683.204649607569
15499,6488.8525771110035
15500,7464.115858047373
15501,5511.444996134529
15502,7639.8856159915085
15503,7453.971426082522
15504,6771.1116132939005
15505,6170.136938446709
15506,4537.040229364533
15507,4690.19151079368
15508,6064.810540872522
15509,4029.6914236364746
15510,5006.068228813099
15511,6147.370061302423
15512,5353.414526562838
15513,6720.22734804882
15514,7902.526702786165
15515,6704.895046378295
15516,5128.488309393131
15517,7727.480919769021
15518,7122.7750187567235
15519,7081.983995038279
15520,5664.024636543891
15521,6478.173268166776
15522,6359.732084541413
15523,6560.825522157861
15524,7187.068279075404
15525,5234.352922113363
15526,5515.118608715255
15527,4484.974859523634
15528,4286.350507891241
15529,7445.476648504784
15530,6581.710796431795
15531,6644.4261249164265
15532,7199.60737037334
15533,4800.567090863642
15534,7960.521163172072
15535,4043.2582806491264
15536,6533.862537562634
15537,5466.6635124168115
15538,6657.673904288824
15539,7425.799301121184
15540,6155.024489251989
15541,6367.021852824297
15542,7167.186834928509
15543,7114.602486228854
15544,4679.448758386294
15545,4939.474135664401
15546,7570.930792265295
15547,5497.9523796809335
15548,5972.492865819553
15549,7070.588771511828
15550,6644.466815697931
15551,7102.576858892777
15552,6414.720634542946
15553,4281.12606664805
15554,5554.989259760889
15555,5981.157556819966
15556,6780.126860371862
15557,7082.730335990644
15558,4095.167932108301
15559,5541.293551274158
15560,7767.004957766992
15561,5532.656000681926
15562,7539.7349360388325
15563,6692.642843374801
15564,4398.550585729296
15565,6396.825027646018
15566,6672.6448449687705
15567,6550.375268878406
15568,3241.62159372708
15569,4233.700439296739
15570,5278.005091777515
15571,5174.038605015956
15572,4125.834418417219
15573,5837.665236886463
15574,6198.3064623498285
15575,6470.498370891255
15576,4366.958137169586
15577,5880.546696945622
15578,6569.591444495062
15579,3216.0871743243542
15580,7664.867175241925
15581,7381.186030419007
15582,6670.289202451071
15583,3025.337120060274
15584,5389.375592170169
15585,4133.437003103976
15586,6259.734999532109
15587,7961.883735934616
15588,6441.278243189203
15589,5703.302261162717
15590,5077.517943373556
15591,5972.580329174623
15592,7897.543750061066
15593,7224.262822931552
15594,6865.934743077565
15595,4396.907560163545
15596,4722.778850761501
15597,5073.552839931379
15598,5265.87015194457
15599,5583.655596529394
15600,5552.850306803308
15601,6143.204687985206
15602,7678.285265370943
15603,5022.899947406648
15604,7331.070269563203
15605,6461.842858188171
15606,7559.576974523137
15607,5783.630783146853
15608,6803.2244196757565
15609,7330.310842586141
15610,6523.123308352557
15611,4685.349491006675
15612,5117.012348992652
15613,6446.516811998848
15614,4561.763804945645
15615,6267.086089107212
15616,6098.572334498836
15617,5363.606423778036
15618,6532.177564636684
15619,6814.416017743448
15620,5019.869088839201
15621,4324.688749899364
15622,4218.113886052179
15623,5434.5442304727985
15624,5256.899543264477
15625,4148.022681000996
15626,7462.389957159892
15627,5504.222761725025
15628,5755.718748619909
15629,5891.6218667204685
15630,5243.110678002691
15631,5742.826725596538
15632,5953.112600542183
15633,4952.197587652208
15634,7056.738888849304
15635,5285.920632582138
15636,7531.082855728635
15637,5730.287210693196
15638,5654.525315713534
15639,4182.585647234662
15640,5547.14332291479
15641,7090.9524588065415
15642,6630.030442363517
15643,4563.525567635912
15644,6132.976740387288
15645,5501.6589731520835
15646,5603.257915902739
15647,7971.370928850889
15648,5724.930773161048
15649,6763.049823579511
15650,7999.224687478156
15651,5543.645193475644
15652,8062.544441475498
15653,4967.945297926942
15654,6830.548228740003
15655,4926.001437100912
15656,7186.3022606598515
15657,5360.81760934215
15658,6747.2615257589005
15659,7211.211313861224
15660,7720.249940564117
15661,7417.81898464894
15662,6828.632633030691
15663,7355.025006992288
15664,4346.876035817224
15665,4385.345143705128
15666,4733.041012237907
15667,6652.4356004347865
15668,7379.794611462612
15669,5105.321991066981
15670,6535.023163819892
15671,5771.314266505526
15672,5376.300707811549
15673,6931.48597471028
15674,6226.794998235833
15675,4703.813523159302
15676,5517.074751939419
15677,5317.731365689819
15678,7480.179644331223
15679,6369.870569328823
15680,4813.399385144347
15681,7324.1953414800155
15682,6224.009001887556
15683,5652.048638992614
15684,6610.1301408646195
15685,6808.346428601273
15686,7835.418946983837
15687,5621.087088394703
15688,7322.3508047402975
15689,7309.775957407966
15690,6768.046930485865
15691,6208.397186134071
15692,5149.761941920804
15693,6698.322850837298
15694,6658.66781732323
15695,6205.959989809479
15696,7218.062478607393
15697,5351.429681222433
15698,7263.996449244036
15699,5528.439118352295
15700,7330.750217429322
15701,4129.771768561124
15702,4680.937466255184
15703,3154.1129428912527
15704,4476.216160298414
15705,6038.153978286186
15706,6581.195909228632
15707,6045.74954271995
15708,6262.269931314289
15709,7039.948086485505
15710,6721.026376632768
15711,6359.866950303603
15712,7120.7518939045
15713,5571.153384281276
15714,4596.554609084991
15715,5519.375817753578
15716,6444.278831086665
15717,5075.1169503910105
15718,5440.4745882440475
15719,6124.227276920971
15720,5749.75150458801
