id,Machine failure
136429,0.0024350241
136430,0.0024620814
136431,0.0024350241
136432,0.004044874
136433,0.0026555362
136434,0.0024350241
136435,0.0085940035
136436,0.004079907
136437,0.0023964266
136438,0.0023693694
136439,0.0023693694
136440,0.0028816347
136441,0.0023693694
136442,0.0023693694
136443,0.0023693694
136444,0.0034056474
136445,0.0023693694
136446,0.9906463
136447,0.0023693694
136448,0.0023693694
136449,0.004223402
136450,0.0023693694
136451,0.014237218
136452,0.014237218
136453,0.0024350241
136454,0.0023613933
136455,0.0023693694
136456,0.0026845997
136457,0.0034955742
136458,0.0026845997
136459,0.011786969
136460,0.002568161
136461,0.0024350241
136462,0.01268895
136463,0.01571322
136464,0.005436371
136465,0.0023693694
136466,0.007005638
136467,0.0023693694
136468,0.002427048
136469,0.0023964266
136470,0.0023693694
136471,0.010444586
136472,0.0085940035
136473,0.004079907
136474,0.0023693694
136475,0.003733388
136476,0.005261973
136477,0.0023693694
136478,0.0023693694
136479,0.0034955742
136480,0.011630398
136481,0.0067787264
136482,0.028417837
136483,0.0034955742
136484,0.0023693694
136485,0.0023613933
136486,0.0023693694
136487,0.0023693694
136488,0.0024350241
136489,0.0023693694
136490,0.01268895
136491,0.0034327046
136492,0.0034056474
136493,0.0025411039
136494,0.0023693694
136495,0.005993072
136496,0.0025411039
136497,0.0023693694
136498,0.010423801
136499,0.0023693694
136500,0.0023613933
136501,0.0023693694
136502,0.0026845997
136503,0.0071481876
136504,0.0023964266
136505,0.0024620814
136506,0.0025411039
136507,0.0023613933
136508,0.0023964266
136509,0.0034955742
136510,0.0023693694
136511,0.003647046
136512,0.0023613933
136513,0.00915133
136514,0.0023693694
136515,0.002427048
136516,0.0025411039
136517,0.0034955742
136518,0.0023693694
136519,0.0023613933
136520,0.0071481876
136521,0.0023693694
136522,0.004919241
136523,0.0023693694
136524,0.0023964266
136525,0.0024350241
136526,0.0035035503
136527,0.0026845997
136528,0.0023964266
136529,0.0035978686
136530,0.0023613933
136531,0.0035035503
136532,0.002427048
136533,0.0041354997
136534,0.0023964266
136535,0.0025411039
136536,0.002427048
136537,0.0023693694
136538,0.00405285
136539,0.0023964266
136540,0.0024350241
136541,0.0023693694
136542,0.0024350241
136543,0.006740176
136544,0.0025331278
136545,0.0023693694
136546,0.002427048
136547,0.004919241
136548,0.0023693694
136549,0.0026555362
136550,0.009968533
136551,0.0023693694
136552,0.0023964266
136553,0.0023693694
136554,0.0023693694
136555,0.01268895
136556,0.0024350241
136557,0.00405285
136558,0.0025411039
136559,0.0023693694
136560,0.0037684212
136561,0.0035035503
136562,0.0034955742
136563,0.0023693694
136564,0.0023693694
136565,0.02049439
136566,0.0023693694
136567,0.00405285
136568,0.0038245402
136569,0.0023693694
136570,0.0023613933
136571,0.015914947
136572,0.0025411039
136573,0.0023693694
136574,0.0035035503
136575,0.0023693694
136576,0.0023693694
136577,0.003549143
136578,0.0023613933
136579,0.00869701
136580,0.0023613933
136581,0.0023613933
136582,0.0023693694
136583,0.0024620814
136584,0.0023693694
136585,0.002699958
136586,0.038237028
136587,0.0023613933
136588,0.0025411039
136589,0.0024620814
136590,0.0023613933
136591,0.0023613933
136592,0.006740176
136593,0.0067322003
136594,0.0023613933
136595,0.0023693694
136596,0.0023693694
136597,0.0023693694
136598,0.0023693694
136599,0.0023693694
136600,0.0025411039
136601,0.003428326
136602,0.0034056474
136603,0.0023693694
136604,0.0023613933
136605,0.004079907
136606,0.0023693694
136607,0.0035306076
136608,0.015372983
136609,0.0033976713
136610,0.00405285
136611,0.0023613933
136612,0.0034955742
136613,0.0035035503
136614,0.0024620814
136615,0.0023693694
136616,0.0023613933
136617,0.00405285
136618,0.0023964266
136619,0.002568161
136620,0.0023693694
136621,0.0023693694
136622,0.0023693694
136623,0.0023964266
136624,0.0023613933
136625,0.0023693694
136626,0.0023613933
136627,0.024047306
136628,0.008728559
136629,0.0024087029
136630,0.0023613933
136631,0.0048878635
136632,0.0023693694
136633,0.004919241
136634,0.0023613933
136635,0.010105943
136636,0.01709793
136637,0.0035035503
136638,0.9933242
136639,0.010348048
136640,0.003647046
136641,0.0023613933
136642,0.0023693694
136643,0.022137932
136644,0.0023693694
136645,0.0023693694
136646,0.0023964266
136647,0.00405285
136648,0.011916712
136649,0.0023693694
136650,0.0036249259
136651,0.0023693694
136652,0.99758214
136653,0.0024620814
136654,0.0023964266
136655,0.00405285
136656,0.0025411039
136657,0.0035978686
136658,0.0023964266
136659,0.0025411039
136660,0.0038515974
136661,0.0024350241
136662,0.017266206
136663,0.0023964266
136664,0.010423801
136665,0.0023693694
136666,0.0024087029
136667,0.010307729
136668,0.0023693694
136669,0.005436371
136670,0.0023693694
136671,0.002568161
136672,0.0024620814
136673,0.0025331278
136674,0.0023613933
136675,0.0024620814
136676,0.008924094
136677,0.005436371
136678,0.0023613933
136679,0.0023693694
136680,0.0035035503
136681,0.0023693694
136682,0.0023693694
136683,0.0023693694
136684,0.012251476
136685,0.0164707
136686,0.0025411039
136687,0.0034056474
136688,0.011292138
136689,0.010427259
136690,0.0072640222
136691,0.016588658
136692,0.005436371
136693,0.0023964266
136694,0.0023693694
136695,0.0023693694
136696,0.0025411039
136697,0.0023613933
136698,0.0061984872
136699,0.004079907
136700,0.002427048
136701,0.0026919818
136702,0.0023693694
136703,0.004196345
136704,0.0023964266
136705,0.0023964266
136706,0.0023693694
136707,0.0034955742
136708,0.0050313585
136709,0.012424942
136710,0.0023693694
136711,0.0023693694
136712,0.0023964266
136713,0.0061060362
136714,0.012759226
136715,0.004188369
136716,0.005436371
136717,0.004230282
136718,0.010423801
136719,0.0023693694
136720,0.0024087029
136721,0.004044874
136722,0.0023693694
136723,0.002427048
136724,0.0023693694
136725,0.0024350241
136726,0.0023964266
136727,0.0023693694
136728,0.0023693694
136729,0.0034056474
136730,0.0023693694
136731,0.00405285
136732,0.0028466014
136733,0.0023693694
136734,0.0023693694
136735,0.0023693694
136736,0.005436371
136737,0.0024823337
136738,0.0023613933
136739,0.00405285
136740,0.004044874
136741,0.014055122
136742,0.0023964266
136743,0.0023693694
136744,0.0036249259
136745,0.0026845997
136746,0.0023964266
136747,0.002568161
136748,0.0023964266
136749,0.0023693694
136750,0.0033976713
136751,0.0023693694
136752,0.0023693694
136753,0.009965075
136754,0.0024350241
136755,0.020180587
136756,0.008749025
136757,0.010307729
136758,0.0023693694
136759,0.0024350241
136760,0.0023613933
136761,0.002427048
136762,0.01760601
136763,0.0023693694
136764,0.0024350241
136765,0.0028466014
136766,0.0025411039
136767,0.006296797
136768,0.002427048
136769,0.005313936
136770,0.0032852502
136771,0.0023693694
136772,0.018385312
136773,0.0024350241
136774,0.0023613933
136775,0.006875695
136776,0.0023693694
136777,0.0023693694
136778,0.0023693694
136779,0.0025411039
136780,0.0023693694
136781,0.009540682
136782,0.0025411039
136783,0.0023613933
136784,0.0023613933
136785,0.0032852502
136786,0.0023693694
136787,0.004044874
136788,0.006296797
136789,0.0025411039
136790,0.0023613933
136791,0.0025411039
136792,0.010507943
136793,0.0023693694
136794,0.0026845997
136795,0.002699958
136796,0.0024620814
136797,0.0023693694
136798,0.009152584
136799,0.0023693694
136800,0.0026555362
136801,0.0023693694
136802,0.002427048
136803,0.0023613933
136804,0.0023693694
136805,0.004079907
136806,0.0023964266
136807,0.002427048
136808,0.0023693694
136809,0.0023693694
136810,0.0023693694
136811,0.0101120295
136812,0.0023613933
136813,0.007096269
136814,0.0023693694
136815,0.0023964266
136816,0.0023693694
136817,0.0023693694
136818,0.009965075
136819,0.0023613933
136820,0.0023613933
136821,0.0024620814
136822,0.01268895
136823,0.0024620814
136824,0.0023964266
136825,0.0024350241
136826,0.99822235
136827,0.0023964266
136828,0.0023613933
136829,0.004044874
136830,0.0023693694
136831,0.0024620814
136832,0.0024350241
136833,0.0024620814
136834,0.9608723
136835,0.0023693694
136836,0.0035035503
136837,0.0024620814
136838,0.0023693694
136839,0.0023613933
136840,0.009338541
136841,0.0025331278
136842,0.0023693694
136843,0.0023693694
136844,0.0023693694
136845,0.0033976713
136846,0.0085940035
136847,0.0023613933
136848,0.0025331278
136849,0.0025411039
136850,0.0024350241
136851,0.0023693694
136852,0.003549143
136853,0.0035306076
136854,0.0034327046
136855,0.0023693694
136856,0.012835904
136857,0.0038245402
136858,0.002427048
136859,0.0023693694
136860,0.0023964266
136861,0.002427048
136862,0.0067672334
136863,0.0023613933
136864,0.002416679
136865,0.002427048
136866,0.0023693694
136867,0.002699958
